tags,texts
игры хит-парад рейтинги топ top rating rpg mmorpg,"Итак, хит-парады. А куда без них? ;)

Россия, PC

Need for Speed Carbon. Коллекционное издание
Gothic 3
Sims 2: Все для праздника
Sims 2: Питомцы
FIFA 07
Battlefield 2142
World of Warcraft
World of Warcraft (pre-paid game card 60 days)
Цезарь 4
Sims 2

США, PC

The Sims 2: Pets
Medieval 2: Total War
World Of Warcraft
Neverwinter Nights 2
Microsoft Flight Simulator X Deluxe
EverQuest II: Echoes of Faydwer
Battlefield 2142
Call of Duty 2
The Sims 2
The Sims 2: Happy Holiday Stuff

Россия, PS2

Need for Speed Carbon. Коллекционное издание
Black Platinum
Need for Speed Most Wanted Platinum
FIFA 07
Tekken 5 Platinum
Pro Evolution Soccer 6
Metal Gear Solid 3: Subsistence
Canis Canem Edit
GTA: San Andreas Platinum
Marvel Ultimate Alliance

США, консоли

Gears of War (X360)
New Super Mario Bros. (DS)
Madden NFL 07 (PS2)
Brain Age: Train Your Brain in Minutes a Day (DS)
Call of Duty 3 (X360)
Nintendogs: Dalmatian and Friends (DS)
Madden NFL 07 (X360)
Madden NFL 07 (PSP)
Mortal Kombat: Deception (PS2)
Pokemon Ranger (DS)

По материалам DTF.RU. Рейтинг актуален на 02.12.06



"
интернет ТВ,"В нашем городе на одном из ведущих каналов каждый выходной выходит программа «Веб-экспресс», тематика: интернет, новые технологии, игры…

У них даже есть свой сайт — GOTV.ru — для тех, кто пропустил очередной выпуск или хочет оставить на память подкаст особо «горячего» эпизода.

Справедливости ради стоиит отметить, что сайт не блещет толпами посетителей, но вот аудитория самого ТВ-проекта позволяет ему уверенно держаться на плаву.

Лично я смотрю регулярно, почти каждый выпуск попадается в их разделе новостей что-то интересное, чего я ещё не знал, — к тому же они дают ссылки на инет-источники…

Кстати, в выпуске за прошедшие выходные в новостях была ссылка и на Хабр… ;-)

А в Вашем городе есть подобные ТВ-проекты и насколько они, по-вашему, интересны и адекватны?"
Хабрахабр проекты идея,"Появилась идея — создать раздел «Проекты» — для тех, кто создаёт некий инет-проект. 

Понятно, что это не то, что работа в обычном понимании.

Там участники в формате почти блога могли бы обмениваться мнениями по идее проекта, присоединяться к команде проекта по призыву создателя проекта и т.д. 

Возможно — таким образом могли бы образовываться свободные группы для развития того же Хабра…

Что думаете?"
ferraru фото,"На Ферре.Ру открылся раздел — Хай-Тек в картинках — news.ferra.ru/photos

Всем, кто любит смотреть — рекомендую…"
Apple iPhone Кевин Роуз,"Основатель Digg.com Кевин Роуз рассказал о некоторых подробностях будущего телефона Apple iPhone. Кевин утверждает, что информация полученна из надежных источников. 

По словам Роуза, iPhone будет выпущен в январе следующего года, будет работать в сетях GSM, TDMA, Sprint PCS и не будет «привязан» к какому-либо оператору. Не известно, какой ОС будет управляться телефон, однако она, по словам Роуза, будет очень хороша («pretty cool») и будет иметь уникальные возможности. iPhone будет иметь очень небольшие габариты и две батареи, для MP3-плеера и телефона, которые будут заряжаться одновременно от одного зарядного устройства.
Телефон будет оснащаться выдвижной клавиатурой, флэш-памятью и, возможно, чувствительным к прикосновению экраном. Всего будет выпущено две модели — с объемом памяти 4 ГБ по цене $249 и 8 ГБ — $449.
Источник:  
iPhone будет иметь две батареи?, iXBT.com

Обращает на себя внимание нестандартный подход компании Apple к проектированию телефона с мр3-плеером, вобщем-то как обычно. Ждем :-)"
глюк хабрахабр,"Вот моя запись в колонку — сохраненная когда-то давно-давно в черновиках, за счет того, что время публикации у нее — то, которое было, когда я ее сохранял, а не когда публиковал, теперь лишена возможности быть оцененной и так и торчит в «новом». И, наверное, будет торчать вечно, если не изменить ей время — а заодно и не изменить баг в механизме простановки дат когда-то сохраненных колонок."
идеи стартап блог,"В этом блоге я бы хотел обьеденить креативно мыслящих личностей у которых есть идеи и которые бы они хотели реализовать. Открываем свои задумки критикуем, помогаем, общаемся, воплощаем их в жизнь.
UPD. Если вы имеете карму больше 1 и можете писать в блоге, прошу идеи писать отдельно в блог, а не в комментарии.
Cпасибо."
размеры пиксели стандарты,"Предлагаю договориться о размерах картинок, которые можно использовать в статьях, колонках и т.п. У многих изданий есть свои «любимые» размеры иллюстраций (например на VNUnet.com, где я имел честь немного потрудиться, это 185х110 пикселей). Такие стандарты служат для унификации внешнего вида каждой статьи, чтобы в итоге весь сайт выглядел стройнее и приятнее для глаза. Конечно он и сейчас вполне себе приятен, но нет предела совершенству. :)

Сразу предлагаю установить максимальный размер по ширине для крупных иллюстраций, помещаемых отдельным абзацем без обтекания текстом (схем, диаграмм...), как 430px по ширине (иначе они будут вылазить в самый низ статьи). А для предваряющих текст небольших картинок (например, логотипы компаний и всякий клип-арт о сабже статьи) предлагаю установить стандартный размер 140x140px или, если квадратной ее сделать нельзя, до 180px по ширине."
Образование сервисы инвестиции стартап Веб  социальные се,"Все веб-технологии, которые находятся сейчас на пике популярности, можно и нужно применить к сфере образовния. Открытый бесплатный хостинг для слайдов лекций, конспектов, дипломных работ и других материалов должен совершить настоящую революцию, сравнимую с появлением Википедии. Возможности комментирования всех материалов, тематические образовательные блоги и свободно-распространяемые системы тестирования
могут перевести технологии образования на новую ступень. 

В рамках проекта CSIN·RU наша команда будет изучать применимость идей Веб 2.0 в области вузовского образования по информатике. Уже сейчас у нас есть галерея ведущих ученых-информатиков, выложен ряд курсов, ведется тематический блог и социальный каталог. 

Как мы себе представляем образование 2.0 и каков наш план?


Цели. Наша основная задача — создать инфраструктуру, которая сделает образовательные материалы переиспользуемыми. То есть, чтобы лекция подготовленная и прочитанная один раз, могла быть изучена/просмотрена миллионы раз. Ежедневно мы теряем огромный труд преподаваелей, которые, подготовив слайды лекций, навсегда забывают их в своих домашних компьютерах. Сейчас только MIT OpenCourseWare пытается сделать что-то подобное. Мы хотим сделать лучше!

Мотивация. Комментирование, выставление рейтингов, рекоммендации и свободное распространение образовательного контента породит конкуренцию между преподавателями. Когда содержание конкурирующих курсов окажется на виду и появится возможность сравнивать курсы между собой, мы сразу увидим, какой вуз чего стоит. В идеале, любая конкуренция приводит улучшению качества и падению цены объекта конкуренции.

Трудности. Прежде всего, предстоит побороть инерцию авторов образовательных материалов. Одно дело — лекция перед 15 студентами, другое — повесить свои (не идеальные) слайды на всеобщее обозрение. Не ясна и ситуация с авторскими правами — вузы могут попытаться препятствовать распространению лекций своих сотрудников.

Бизнес-модель. На первом этапе наиболее актуальна модель Wikipedia — сбор пожертвований и поиск грантов. На втором этапе, когда технологии уже созданы и пробные проекты показали свою эффективность, появится возможность привлечь инвесторов. Наконец, при накоплении критической массы контента и активных пользователей, проект может быть продан одной из крупнейших медиа компаний или выйти на окупаемость за счет рекламы. 

Образование 3.0 Идея семантического Веба — поиск по смыслу. Как и другие виды контента, образовательные материалы постепенно проходят путь от центральной точки сбора, к серии конкурирующих проектов, и наконец к децентрализированной системе миллионов участников. На последнем этапе потребуется разработать формат аннотаций и метаданных (как RSS для блогов), который позволит вести образовательный поиск и индивидуальный подбор учебных материалов. 

План CSIN. Весной 2007 на сайте CSIN·RU будет открыт свободный хостинг для слайдов лекций и электронных конспектов. Мы собираемся также запустить систему публикаций на злободневные темы (уезжать или оставаться, поиск грантов, судьба науки, бизнес-модели для образования, платное или бесплатное). Естественно форум, личные странички участников проекта, теги для всех объектов на сайте, RSS-экспорт новых материалов. Да поможет нам Drupal! 

Обратная связь. Любое дальнейшее обсуждение концепции «Образование 2.0» приближает нас к будущему свободного образования. Нам нужны ваши идеи: как еще можно применить Веб 2.0 к образованию? Как можно сделать проект CSIN·RU лучше? Есть ли у вас знакомые, которые разрешат разместить их слайды на нашем сайте? Как привлечь инвестиции в образование 2.0?"
Хабрахабр блоги персонализация,"Сегодня мы добрались до персонализации.
Начнем с блогов. Сейчас по умолчанию транслируются все блоги (что, может быть, не всем нравится). Чтобы это изменить, нужно воспользоваться настройками (см. новый раздел «Настройки»). Активная галочка в единственном (пока единственном) пункте сделает любимые блоги дефолтными при переходе в раздел «Блоги», неактивная галочка ничего не изменит, все останется как прежде.

Что еще?
Пока это все, за исключением некоторых изменений в ограничениях на разные голосования, вот они:
 — голосовать за комментарии можно в течение 3-х суток;
 — голосовать за хабратопики и тексты можно в течение 3-х суток;
 — новые тексты висят в «Новые» в течение 24 часов с момента публикации, затем они перестают быть новыми."
djuice Киевстар рекомендации,"в списке рекомендаций djuice (http://www.djuice.com.ua/) отображается как Киевстар (http://kyivstar.net/). 
Может быть это отображать разными ссылками? ;)"
google microsoft msn долгов леонов носик,"В четверг 30 ноября я был в ГУ-ВШЭ на встрече с руководителем направления в России MSN корпорации Microsoft Всеволодом Леоновым  и генеральным директором Google-Russia Владимиром Долговым.


Всеволод пришел раньше, уселся на стол и совершенно не интересно рассказывал о приходе на российский рынок нового игрока. От него веяло снобизмом, а в голосе то и дело слышались ироничные нотки. Про Яндекс руководитель MSN сказал, что лидер российского поиска не наш конкурент. «Мы будем не искать, а внедрять различные сервисы, например, MSN и Windows Live.» Общее впечатление от этого ненужного выступления — прислали майкрософтовскую безделушку, чтобы был оппонент Гуглу.

Владимир Долгов задержался к началу мероприятия. Леонов даже пытался его подколоть, что «говорят Microsoft везде опаздывает, а вот и нет: Гугл, оказывается не лучше». Начавшуюся полемику, Долгов быстро прекратил: «Добирался сюда по картам, которые предоставляет Microsoft». Хотя, я лично таких не припоминаю.
Началась презентация Google (именно презентация на PowerPoint, а не нудный майкрософтовский голос), а докладчик говорил очень интересно.

Весь Гугл начинал на 15 компьютерах. Идея Ларри Пейджа и Сергея Брина заключалась в следующем: закачать весь интернет к себе на компьютеры и оптимизировать информацию. К их великому сожалению, интернет разрастался гораздо быстрей, чем они успевали его закачать к себе. Тогда они и придумали поисковой скрипт, который ищет новые сайты и заносит их в специальный реестр. Вместо 15 компьютеров, у Google теперь 450.000 серверов по всему миру. Он является второй по капитализации IT-компанией в мире, после Microsoft. Но стоит учесть, что Google делает свои деньги в интернете.

Также понравилась схема работы компании Google. Звучит она так: 70—20—10. Итак,
70 — 70% времени сотрудник компании посвящает основным должностным обязанностям.
20 — 20% времени занимается проектом, который имеет хороший потенциал и может стать одним из официальных сервисов Гугла.
10 — 10% времени можно делать хоть что: сидеть в интернете, пойти погулять, пообщаться по телефону по личным делам или ЗАНИМАТЬСЯ ИННОВАЦИОНЫМИ ПРОЕКТАМИ, который еще не получил ни одобрения, ни финансирования от руководства.

Например, в результате 10% свободного времени на работе, родилась идея блога, который очень популярен в Бразилии, а Google, естессно, делает свои деньги на этом.

Владимир также рассказывал об эффективности использования рекламы. Показал ступени эволюции:
СМИ → Наружная реклама → Радио → Баннеры → Поисковая реклама → Контекстная реклама → Блоги

Google сейчас зарабатывает на контекстной рекламе, внедряя различные механизмы в эту технологию. «А блогами пусть Носик занимается в СУПе».

Сервис AdSense тоже поджидают различные проблемы. Например, проблема локализации. У Долгова был случай, когда один израильтянин пожаловался на AdSense, мол, не удобный он у вас. Как оказалось, на иврите слова длиннее, чем на английском. Поэтому ограничение на количество первоначальных символов не позволяет эффективно размещать заголовки объявлений. Причем, не попадает не конец объявления, а начало (иврит справа налево читают =))

Также была «группа поддержки», как я ее назвал — ребята, которые смеялись над плоскими шутками Леонова. Задавались совершенно идиотские вопросы. Отвечающие постоянно ссылались друг на друга и не давали внятных ответов.
Понравилась только презентация Google и грамотное выступление руководителя.

Не мне судить о размахе входа Google на российский рынок. Заметно их или нет. Заберут ли они у Яндекса трафик? Или останутся на прежних 15%.
По крайней мере, google заговорил по-русски в феврале 2006. Это значит, что скрипт теперь понимает падежи, окончания и прочие нюансы русского языка.

Антон Носик в прямом эфире РБК (программа ""В фокусе""): «Google пришел в Россию?! Пришел? Занимает комнатушку под нами в Смоленском пассаже. Google просто представлен в России.»

В завершении поста хотелось бы поиграть с вами. Назовите 3 самых популярных запроса в Google:
1. Ни за что не догадаетесь сами.
2. Слово из 3 букв.
3. Слово из 3 букв.
Учтите слова на английском языке.

Для самых умных: откуда образовалось гугловское название PageRank?

UPDATE
1. Britney Spears
2. mp3
3. sex

Для самых умных: от имени создателя метода ранжирования Ларри Пейджа (Larry Page).

То же в блоге ЖЖ"
Microsoft XAML XML интерфейс cgvictor WPF,"Для начала, что такое XAML.
Xaml (произносится замл) stans for Xtensible Application Markup language. По сути — подмножество XML, позволяющее описывать пользователский интерфейс и его логику. Справедливости ради надо отметить, что изначально акроним был eXtensible Avalon Markup Lang, да вот совпало :). Xaml, по сути — вещь открытая, но нам он сейчас интересен именно как база для работы новой системы предстваления и интерфейсов Microsoft Windows Presentation Foundation.

Для чего это всё
Опыт разработки приложений уже давно всем показывает, что неплохо бы не смешивать логику кода и логику представления (данных). Отчасти потому что это облегчает разработку, отчасти потому, что очень вредно (для конечных пользователей) заставлять программистов писать пользовательские интерфейсы. Хороший интерфейс — половина дела, но его и придумать надо, и сделать переносимым, и менять отдельно от логики, и оптимизировать под аудитории, и… в общем, востребовано.
Да, у этого чуда есть аналоги: XUL, UIML, Adobe Flash+Flex, Adobe Apollo и что-то там еще.

Как это работает
XAML, декларативный язык разметки, позволяет указать системе, что именно из компонентов интерфейса мы хотим видеть у себя. В стандартном пакете есть как законченные контролы (листбокс, кнопка, etc), так и заготовки/программные шаблоны для наследования и создания своих (ContentPresenter, Control, etc). Приложение фреймворка, PresentationHost (или ApplicationHost, если речь о браузере) получает описание сцены и пытается отобразить его у себя при помощи системных средств, дополняя недостающие данные и собственно управляя процессом. Дескрипторов окон, кстати, здесь нет и быть не может.

XML-base позволяет описывать очень серъезные и глубокие наборы элементов интерфейса. К примеру, никто не может мне помешать создать область отрисовки (Grid) внутри варианта поведения для кнопки, который будет показан при наведении мыши, а на Grid-е положить видео в трехмерной плоскости. И всему этому задать относительные размеры. Концепты элементов управления очень и очень условны, и я вполне могу показывать видео на трехмерном торе, вращающемся внутри некоей области; а для программиста — внимание! — это будет стандартный (равнозначный стандартному) ListBox… в общем, покажу.

Где это использовать (софт и железо)
Microsoft говорит, что WPF работает везде, где встанет NETfx3. Это немного преувеличено.

На текущий момент всё это более-менее работает на Vista, а также в ограниченном виде на Win XP SP2 и сервере. Предвосхищая вопросы: нет, только SP2 либо SP1 для сервера. На XPSP2 не будет работать application host (интеграция xaml как системного скриптового языка), но в целом ничего.

Железо: нормального соременного компьютера будет достаточно. Зная, что вот сейчас эта фраза вызвала у многих нервный смех :), поясню. По моим наблюдениям, не стоит пытаться запускать у себя всё это хозяйство, если а) оперативной памяти меньше 128М, б) видеопамяти меньше 8М, в) частота процессора меньше 1-1.2GHz. Оно, кстати, всё равно заработает, но работать будет ну уж совсем грустно.
Кстати, графического ускорения за счет видеокарты можно ощутимо добиться только на WinVista. Для всех видеовыводов используются функции DirectX, если они не срабатывают — software wrapper. Не срабатывает, по опыту — часто.

Сразу говорю, что Vista я пока в работе не использую, и все примеры будут на XPSP2/WSSP1. Если вы используете — вам проще :)
Никто не говорил, что будет легко. Но будет красиво…



Давайте определимся, что нам может понадобиться для практического знакомства с технологией:

 — для собственно работы presentation host нам не обойтись без .NET framework 3.0 (51M). Это ссылка на полный пакет, экономящие траффик могут взять стандартный 2.8М установщик. Те, у кого стоит Vista RC1 или Vista RTM могут эту ссылку не скачивать, у вас уже всё и так есть.

 — для визуальной работы со сценами нам нужен MS Expression Interactive Designer (7.1M). Это CTP-версия. Региться, кстати, не нужно, если сказать внизу «no, thanks» (прям как в том анекдоте:). Эта весчь умеет компилить/билдить проекты и ограниченно работать с xaml-кодом. Кстати, оно само отчасти написано на XAML, в чем будет возможность убедиться.

 — не обязательна, но полезна будет Visual Studio или ее express-версия. Они, кто не знает, бесплатны. PHP-шникам рекомендую CSharp, остальным — решайте сами. Инсталлер сливает 40-60 метров, если нужен iso-шник — здесь (450-500М).

 — для того, чтобы работать в Студии с WPF-проектами, нужно поставить extensions for WPF+WCF (4.0М).

На текущий момент всё еще ведется разработка XAML и прилегающих к нему технологий. Однако постепенно появляются живые приложения, как указаный на картинке NewYork Times Reader. Помимо очевидного присутствия из-за «гонки технологий», здесь есть действительно серьезные инновации как для пользователя, так и для команды разработки (дизайнер+программист).

Взято в ЖЖ cgvictor'a, с разрешения автора.

Если кому-нибудь будет интересно, буду постить сюда свежие статьи из его блога на эту тему."
Носик СУП РБК Гэллоп Яндекс Rambler Media,"Антон Борисыч в ящике:
Первая часть: videoarchive.rbc.ru/archive/2006/12/01/v_fokuse_1.wmv 
Вторая часть: videoarchive.rbc.ru/archive/2006/12/01/v_fokuse_2.wmv

Разговор начинается с объемов рекламного рынка, мигрирует к бизнес-модели СУПа, истории первого интернет-пузыря, далее везде. В середине второй части появляется Арсен Ревазов и разговор возращается к объему рекламного рынка."
microformats микроформаты пиктограммы,"Добрый человек Wolfgang Bartelme создал набор пиктограмм для микроформатов.

Вот так, например, выглядят пиктограммы основных микроформатов:
.

На сайте доступны исходники для уже готовой графики и джентельменский набор разработчика пиктограмм для микроформатов (psd- и ai-файлы)."
Rambler Media игры,"Rambler Mass Media выпустил новое информационное приложение «Игры» — журнал о компьютерных проектах, которые создаются для нашего развлечения, удовольствия, снятия напряжения или для развития определенных навыков.

Журнал «Игры» представляет тематический дайджест наиболее интересных материалов из электронных и печатных средств массовой информации, преимущественно из специализированных изданий. Каждые две недели в очередном выпуске появляются рецензии на недавно вышедшие компьютерные игры, анонсы ожидаемых премьер, новости игровой индустрии и аналитические публикации. 

В первом номере журнала речь идет о психологическом настрое для достижения успехов в игре, о создании музыкальных клипов на базе компьютерных игр, о product placement в играх, о соперничестве кинематографа и компьютерных игр за аудиторию и внимание известных кинопродюсеров и о многом другом. В скором времени журнал станет справочником по актуальным сюжетам, которые разработаны и описаны профессиональными наблюдателями игрового сообщества.

Как и большинство проектов Рамблера, «Игры» интерактивны. Читатели журнала могут принять участие в опросах, прокомментировать заинтересовавший их материал, отправить друзьям и знакомым по электронной почте статью или фотографию. С любой страницы журнала читатель может перейти на страницы игрового портала Рамблера, где сейчас находятся известные и всеми любимые многопользовательские игры «Морской бой», «Шахматы», «Кости», старинный китайский пасьянс «Маджонг» и еще несколько десятков игр. В момент появления игрового раздела, в его активе было не больше дюжины игр разных жанров. Теперь же игровой портал Рамблера представляет свои премьеры каждую неделю, а раз в две недели лучшие тексты об игровой индустрии публикует журнал «Игры». Помимо статей и обзорных материалов, обновляющихся с очередным выпуском, журнал ежедневно публикует новостную ленту, которая информирует читателей о происходящем в мире игр и игровой индустрии.

оригинал тут
"
стих,…
Хабрахабр Спартак Чемпион хабратопик rss реклама,"Около часа назад, сразу после первого гола Спартака в ворота Спортинга, korowkin прикрутил возможность цеплять к хабратопикам картинки и фотографии. Спустя время, после второго гола, korowkin прикрутил текстовые объявления во всех фидах Хабрахабра, а после третьего – возможность создавать закрытые хабратопики, которые видны только подписчикам блога."
блогосфера,"


источник: www.neilswaab.com/comics/wiggles/rehab356.html"
WSJ Dow Jones газеты информация контент будущее США,"Заметная американская газета Wall Street Journal первой кардинально изменит формат бумажного издания, сделав его второстепенным по сравнению с сайтом. А страницы сделают узкими и длинными, как вебовские.


Изменение формата бумаги произойдет 2 января. Первый выпуск нового образца раздадут бесплатно. И сайт, который в принципе платный  там под 800 тысяч платящих абонентов  будет в этот день открыт бесплатно. Главная идея изменения: сайт и бумага будут работать в комплексе. Сайт будет давать текущее освещение новостей, а газета  рассказывать о значении событий, лишь вкратце напоминания о главных темах вчерашнего дня. Доля эксклюзива в газете вырастет с 50% до 80%, появятся дополнительные и расширенные рубрики для этого: планы на сегодня, «информированный читатель», «письма в редакцию», вдвое больше культуры и т.д.

На сайте издателя Dow Jones, которому принадлежит WSJ, уже сейчас можно почитать о грядущих изменениях и посмотреть на титульную полосу в новом формате: www.dowjones.com/newjournal.htm

В сопровождающих релизах и комментариях написано множество правильных вещей:
* фокус бумаги на интерпретациях, инсайте и идеях;
* изменения будут на каждой странице: новый цифровой шрифт, обилие инфографики, облегчающая чтение типографика, более рельефный стиль заголовков, улучшенное обозначение тем и рубрик (labeling?), врезки со сводной информацией (summary boxes);
* рекламодателям будут предлагаться более изощренные форматы включения;
* формат изменится, но сохранятся credibility, substance, and essentiality (это маркетинговое заявление, но важное для позиционирования);
* такое изменение  это риск и инвестиция в будущее, но нынешнее финансовое состояние так удачно, что сейчас как раз тот самый момент, чтобы позволить это себе;
* газета будет длинной и узкой. Формат, который, по заявлению редакции, проще держать и носить. Пропорции  1:2 (не очень понятна фраза «The print Journal will convert to a 48-inch web width»  что значит 1,2 метра в ширину? — до разрезки, см. комментарии). Acrobat показывает 29,4×56,7 см. Это почти та же высота, что «обычная» газета, и на треть уже. Примерно как «Пятница» (приложение «Ведомостей»), у которой формат  D2 (отсутствующий в стандарте ISO216, где определена A4).

Издатель WSJ  Л. Гордон Кровиц ставит вопрос кардинально: «Мы запускаем новый тип газеты  такое издание, что идет гораздо дальше событий вчерашнего дня и фокусируется на том, что эти новости значат. И через изменения в контенте, навигации и интеграции принта и онлайна мы сделаем WSJ еще более существенным».

Казалось бы, мечта  большая газета признала интернет и полностью поменяла свой формат, чтобы не конкурировать со своим сайтом, а найти симбиоз.

Вот только смотрим на pdf первой страницы и удивляемся: непонятно, где красоты типографики и акцентирования: плоские выносы, все вчерашние новости одной большой помойкой. Выглядит непривлекательно. Впрочем, не доверяйте впечатлению от экранных копий: на бумаге все будет восприниматься иначе."
corbina корбина ТВ реклама интересное юмор видео сисадмины с,"Корбина в очередной раз мощно отожгла — в этот раз их потенциальные клиенты уже не пересылают слона, а пытаются не сменить ориентацию… :)

Вот только финальное сообщение «Смените провайдера!» выглядит немного опрометчивым, ведь ролик прежде всего увидят клиенты Корбины ;)"
sony wii ds xbox консоли игры развлечения,"Судя по слухам после смещения Кена Кутараги (Ken Kutaragi) с поста президента Sony Computer Entertainment, компания может отказаться от гонки вооружений приставок и начать делать игры для консолей, которые недавно были их прямыми конкурентами — это XBox, Wii и DS.

Впрочем, подобные прецеденты уже были, и популярный пример — Sega."
